Lokalizacja
Adamowo 
Adolfowo 
Aleksandrów Kujawski 
Aleksandrów Łódzki 
Alfonsów 
Ancuty 
Antoniówka 
Augustów 
Augustowo 
Babimost 
Bałamątek 
Banino 
Baranów 
Baranowo 
Barczewo 
Bartoszówka 
Bartoszyce 
Barwałd Dolny 
Baszewice 
Baszkówka 
Bębło 
Będzin
Bełchatów 
Bełżyce 
Bestwinka 
Biała Podlaska 
Białoboki 
Białobrzegi 
Białogard 
Białośliwie 
Białystok
Białystok 
Bibice 
Biedrusko 
Bielany Wrocławskie 
Bielawa 
Bielsk 
Bielsk Podlaski 
Bielsko
Bieniewice 
Bierdzany 
Bihale 
Biskupin 
Blachownia 
Błądzim 
Błażejewo 
Błomino Gumowskie 
Błonie 
Błudowo 
Boboszów 
Bobrowiec 
Bogaczewo 
Boglewice 
Boguchwała 
Boguszów
Bojano 
Bojanów 
Bolesławiec 
Borek 
Borki 
Borkowo Kościelne 
Borowy Młyn 
Borsuki 
Borzymów 
Boszkowo
Bożków 
Bożkowice 
Braniewo 
Brodła 
Brodnica 
Brójce 
Brwilno Dolne 
Brzeg 
Brześć Kujawski 
Brzezina 
Brzeźnio 
Brzóze Małe 
Brzozówka 
Budy Łańcuckie 
Budziszewice 
Budzyń 
Buków 
Bukowce 
Busko
Buszkowo 
Byczyna 
Bydgoszcz 
Bystre 
Bytom 
Cekcyn 
Ceradz Kościelny 
Cerkiewnik 
Chałupy 
Charzyno 
Chełm 
Chełm Górny 
Chełm Śląski 
Chełmno 
Chludowo 
Chmielniki 
Chodecz 
Chojnice 
Chojnów 
Chorzele 
Chorzów 
Choszczno 
Chronów 
Chróścice 
Chruszczewo 
Chrzanów 
Chylice 
Ciechanki Krzesimowskie 
Ciechanów 
Ciechocinek 
Cieleśnica 
Cielętniki 
Ciemne 
Cieszyn 
Ćmachowo 
Cybulice Małe 
Cyców 
Czarna Woda 
Czarże 
Czechowice
Czeladź 
Czemierniki 
Czerniec 
Czersk 
Czerwonak 
Częstochowa
Częstochowa 
Człuchów 
Dąbrowa Górnicza 
Dąbrowa Szlachecka 
Dąbrowice 
Dąbrówka 
Dankowice
Darłowo
Darłowo 
Dawia 
Dawidy Bankowe 
Dębe Wielkie 
Dębica 
Dęblin 
Dębnica Kaszubska 
Dębno 
